Folder,Model,Mean_Compliance_Score,Max_25_Words,Max_2_Sentences,Short_Sentences,No_Double_Negation,No_Self_Definition,Active_Voice_Proxy,Category_Function
results_v5,ministral,0.5247,37,37,102,111,50,78,0
results_v5,rigochat,0.7104,73,81,93,113,95,106,1
results_v5,llama,0.5336,32,51,66,112,53,108,0
results_v5,latxa,0.7685,98,100,95,113,99,103,0
results_v3,ministral,0.5752,30,63,86,112,65,99,0
results_v3,rigochat,0.752,105,104,78,113,85,110,0
results_v3,llama,0.5247,44,84,48,113,21,105,0
results_v3,latxa,0.6787,69,105,65,113,82,103,0
results_v6,ministral,0.425,7,8,104,110,35,72,0
results_v6,rigochat,0.6295,60,64,87,111,66,110,0
results_v6,llama,0.5487,32,34,87,111,68,102,0
results_v6,latxa,0.6851,64,72,97,113,92,104,0
results_v2,ministral,0.6067,35,81,67,113,85,99,0
results_v2,rigochat,0.8482,109,112,94,113,96,107,40
results_v2,llama,0.4326,14,87,24,113,15,89,0
results_v2,latxa,0.7077,91,107,63,113,78,108,0
results_v4,ministral,0.5562,29,63,76,112,65,95,0
results_v4,rigochat,0.7445,98,99,84,113,83,112,0
results_v4,llama,0.4641,30,77,33,112,17,98,0
results_v4,latxa,0.6838,78,111,64,113,72,103,0
results_v1,ministral,0.3138,1,2,52,113,3,77,0
results_v1,rigochat,0.4907,26,109,20,112,15,106,0
results_v1,llama,0.3947,10,85,6,113,7,91,0
results_v1,latxa,0.3909,3,85,12,113,2,94,0
